id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Neon Dreams,Synth Wave Co,electronic,dreamy,0.55,95,0.72,0.68,0.12
12,Beat Drop Bass,Cipher Crew,hip-hop,energetic,0.87,140,0.75,0.85,0.08
13,Velvet Soul,Luna Rivers,soul,romantic,0.45,100,0.78,0.70,0.65
14,Metal Surge,Iron Gods,metal,aggressive,0.95,160,0.35,0.72,0.06
15,Piano Ascension,Melody Keys,classical,inspirational,0.62,110,0.88,0.15,0.98
16,Reggae Sunset,Island Vibes,reggae,playful,0.65,105,0.82,0.76,0.42
17,Desert Echo,The Wanderers,indie rock,adventurous,0.78,128,0.68,0.64,0.48
18,Void Whisper,Dark Matter,dark ambient,introspective,0.25,55,0.32,0.25,0.88
19,Blue Velvet,Soul Collective,soul,melancholic,0.38,92,0.45,0.55,0.72
20,Thunder Road,Rock Legends,rock,aggressive,0.89,145,0.42,0.68,0.08
21,Funky Groove,The Groove Kings,funk,energetic,0.85,115,0.79,0.82,0.35
22,Midnight Rain,Folk Wanderer,folk,introspective,0.35,88,0.58,0.42,0.89
23,Neon Nights,Synth Masters,synthwave,adventurous,0.72,108,0.68,0.71,0.18
24,Ocean Waves,Ambient Drift,ambient,relaxed,0.22,65,0.62,0.35,0.94
25,City Lights,K-Pop Stars,k-pop,happy,0.79,128,0.82,0.85,0.22
26,Digital Horizons,Cyber Dreams,electronic,dreamy,0.58,98,0.71,0.65,0.10
27,Bass Drop Thunder,Trap Nation,hip-hop,intense,0.88,140,0.73,0.80,0.06
28,Tender Heart,Jazz Trio,jazz,romantic,0.42,96,0.74,0.52,0.88
29,Mountain Echo,Indie Folk,indie folk,contemplative,0.40,85,0.61,0.48,0.91
30,Electric Pulse,Electronic Beats,electronic,energetic,0.82,135,0.77,0.84,0.12
31,Whispered Dreams,Pillow Talk,lofi,focused,0.38,75,0.58,0.60,0.80
32,Cyberpunk City,Future Sounds,synthwave,moody,0.78,120,0.52,0.74,0.15
33,Golden Hour,Indie Legends,indie pop,inspirational,0.68,110,0.79,0.73,0.38
34,Break It Down,Bass Kings,dubstep,aggressive,0.91,140,0.38,0.72,0.04
35,Quiet Moments,Piano House,classical,peaceful,0.32,70,0.85,0.18,0.97
36,Reggae Dreams,Rastaman,reggae,relaxed,0.62,100,0.80,0.74,0.45
37,Urban Jungle,Hip-Hop Collective,hip-hop,playful,0.72,120,0.75,0.78,0.25
38,Starlight,Indie Artists,indie rock,dreamy,0.65,115,0.72,0.62,0.42
39,Techno Waves,Berlin Nights,techno,energetic,0.87,128,0.65,0.81,0.08
40,Soulful Strings,String Ensemble,soul,inspirational,0.55,105,0.77,0.68,0.78
41,Punk Rock Anthem,Punk Rebels,punk,aggressive,0.92,155,0.48,0.75,0.09
42,Bossa Nova Breeze,Latin Jazz,bossa nova,relaxed,0.48,90,0.73,0.60,0.85
43,Grunge Days,Grunge Kings,grunge,introspective,0.84,135,0.35,0.65,0.22
44,Afrobeats Sunrise,Afro Vibes,afrobeats,happy,0.80,110,0.81,0.83,0.32
45,Melodic Dreams,Synthpop Wave,synthpop,happy,0.75,118,0.80,0.78,0.20
46,Downtempo Bliss,Chill Collective,downtempo,chill,0.35,70,0.62,0.55,0.82
47,Blues Through Time,Blues Masters,blues,melancholic,0.45,95,0.48,0.58,0.88
48,Gospel Life,Soul Singers,gospel,inspirational,0.70,110,0.82,0.72,0.74
49,House Party,House Masters,house,energetic,0.88,130,0.76,0.84,0.10
50,Country Roads,Country Stars,country,contemplative,0.58,105,0.71,0.62,0.82
51,Death Metal Storm,Metal Legends,death metal,aggressive,0.94,160,0.30,0.68,0.05
52,Progressive Mind,Progressive Rock,progressive rock,introspective,0.68,125,0.65,0.60,0.35
53,Vaporwave Vibes,Digital Sunset,vaporwave,moody,0.40,85,0.55,0.50,0.75
54,Boom Bap Flow,Hip-Hop Classic,boom bap,focused,0.65,95,0.68,0.70,0.45
55,Drum and Bass Rush,Jungle Masters,drum and bass,intense,0.93,175,0.58,0.80,0.08
56,Electropop Energy,Pop Synth,electropop,happy,0.81,125,0.83,0.82,0.18
57,Hard Rock Thunder,Rock Gods,hard rock,aggressive,0.90,150,0.45,0.70,0.12
58,Cloud Rap Dreams,Cloud Collective,cloud rap,dreamy,0.52,90,0.64,0.58,0.68
59,Reggaeton Beat,Latin Kings,reggaeton,energetic,0.83,95,0.79,0.88,0.28
60,Alternative Vibes,Alt Nation,alternative rock,moody,0.76,118,0.58,0.68,0.32
61,World Music Journey,Global Sounds,world music,adventurous,0.60,100,0.70,0.65,0.72
62,Experimental Sounds,Avant Garde,experimental,introspective,0.48,105,0.50,0.45,0.55
63,R&B Nights,R&B Kings,r-b,romantic,0.62,100,0.75,0.72,0.68
64,Disco Fever,Disco Revival,disco,playful,0.87,115,0.81,0.88,0.22
65,Singer Songwriter Tales,Acoustic Artist,singer-songwriter,contemplative,0.42,88,0.68,0.52,0.92
66,Indie Electronica,Electro Indie,electronic,dreamy,0.60,105,0.70,0.62,0.18
67,Hypnotic Beats,Trance Master,techno,intense,0.86,135,0.62,0.79,0.08
68,Trap Soul,Trap Collective,trap,moody,0.80,140,0.60,0.76,0.20
69,Peaceful Morning,Nature Sounds,ambient,peaceful,0.20,60,0.65,0.30,0.96
70,Jazz Lounge,Jazz Standards,jazz,relaxed,0.38,92,0.72,0.50,0.90
71,Metal Shred,Shred Masters,metal,intense,0.96,165,0.32,0.70,0.06
72,Indie Discovery,Indie Collective,indie pop,adventurous,0.72,120,0.75,0.70,0.40
73,Cosmic Journey,Ambient Explorers,dark ambient,contemplative,0.30,70,0.45,0.28,0.88
74,Urban Flow,Street Hip-Hop,hip-hop,focused,0.68,110,0.70,0.72,0.30
75,Country Nights,Country Singers,country,melancholic,0.52,100,0.65,0.58,0.85
76,Orchestral Triumph,Symphony,classical,inspirational,0.62,110,0.87,0.20,0.98
77,Deep House Groove,Deep House,house,relaxed,0.65,120,0.68,0.76,0.22
78,Alt Country Vibes,Alt Country,country,moody,0.55,98,0.62,0.60,0.80
79,Psychedelic Journey,Psychedelic Rock,psychedelic rock,adventurous,0.70,130,0.60,0.65,0.35
80,Dubstep Festival,Bass Nation,dubstep,intense,0.89,145,0.40,0.75,0.05
81,Smooth Soul,Soul Legends,soul,relaxed,0.48,98,0.76,0.65,0.75
82,Indie Dance,Indie Electronic,indie pop,energetic,0.76,125,0.77,0.75,0.28
83,Hip-Hop Classic,Classic Hip-Hop,hip-hop,motivated,0.70,115,0.72,0.74,0.35
84,Blues Nights,Blue Moon,blues,introspective,0.42,90,0.50,0.55,0.90
85,Afro-Latin Fusion,Latin Fusion,afrobeats,happy,0.82,108,0.79,0.81,0.40
86,Electronic Ambient,Ambient Synth,electronic,peaceful,0.35,75,0.68,0.45,0.88
87,Punk Energy,Punk Force,punk,intense,0.91,150,0.52,0.73,0.10
88,Lofi Hip-Hop Study,Study Beats,lofi,focused,0.40,85,0.60,0.62,0.75
89,Indie Folk Acoustic,Folk Artist,indie folk,peaceful,0.38,82,0.65,0.45,0.94
90,Techno Underground,Underground Sound,techno,intense,0.85,130,0.62,0.78,0.08
91,Pop Perfection,Pop Icons,pop,happy,0.80,120,0.85,0.81,0.20
92,Jazz Fusion Modern,Jazz Modern,jazz,energetic,0.62,110,0.70,0.62,0.72
93,Rock Anthem,Rock Stars,rock,motivated,0.82,130,0.75,0.72,0.15
94,Downtempo Evening,Evening Vibes,downtempo,relaxed,0.38,75,0.65,0.58,0.85
95,Symphonic Rock,Rock Symphony,progressive rock,adventurous,0.72,135,0.70,0.65,0.40
96,Electronic Future,Future Beats,electronic,energetic,0.84,138,0.76,0.82,0.10
97,Ambient Meditation,Mindfulness,ambient,peaceful,0.25,65,0.68,0.32,0.95
98,Reggae Vibes,Reggae Masters,reggae,happy,0.68,105,0.81,0.75,0.48
99,Soul Deep Cuts,Soul Deep,soul,romantic,0.50,100,0.77,0.68,0.70
100,Indie Pop Joy,Indie Pop Collective,indie pop,happy,0.74,118,0.81,0.79,0.32
101,Velvet Curtain,Retro Lounge,jazz,romantic,0.40,88,0.72,0.48,0.91
102,Pixelated Sunrise,Chiptune Heroes,electronic,playful,0.78,132,0.80,0.76,0.08
103,Campfire Lullaby,Mountain Folk,folk,peaceful,0.28,76,0.62,0.38,0.96
104,Concrete Jungle,MC Razor,hip-hop,aggressive,0.88,142,0.42,0.82,0.06
105,Lavender Fields,Acoustic Reverie,indie folk,romantic,0.32,80,0.74,0.40,0.95
106,Turbo Mode,Synth Racer,synthwave,energetic,0.85,128,0.70,0.78,0.12
107,Sleepless in Tokyo,LoRoom,lofi,melancholic,0.34,72,0.42,0.55,0.84
108,Crown Royal,Hip-Hop Elite,hip-hop,confident,0.76,108,0.72,0.80,0.14
109,Aurora Borealis,Arctic Ambient,ambient,dreamy,0.22,58,0.68,0.28,0.94
110,Salsa Nights,Latin Groove,reggaeton,playful,0.84,100,0.86,0.92,0.16
111,Foggy Bridge,Indie Dusk,indie rock,melancholic,0.52,98,0.44,0.50,0.62
112,Neon Cathedral,Dark Synth,dark ambient,dark,0.35,62,0.28,0.22,0.86
113,Summer Anthem,Beach Pop,pop,happy,0.84,126,0.88,0.86,0.14
114,Broken Compass,Folk Wanderer,folk,contemplative,0.38,82,0.56,0.44,0.92
115,Warehouse Rave,DJ Spark,techno,energetic,0.92,140,0.62,0.88,0.04
116,Whiskey Blues,Delta Strings,blues,melancholic,0.44,88,0.38,0.52,0.90
117,Pocket Symphony,Chamber Music,classical,peaceful,0.30,68,0.82,0.12,0.99
118,Skyline Chase,Trap Nation,trap,intense,0.86,148,0.55,0.80,0.06
119,Garden Party,Indie Bloom,indie pop,playful,0.70,116,0.84,0.78,0.38
120,Midnight Gospel,Soul Singers,gospel,inspirational,0.66,108,0.88,0.65,0.72
121,Rust Belt,Grunge Revival,grunge,moody,0.78,130,0.40,0.62,0.28
122,Carnival Lights,Funk Parade,funk,playful,0.84,118,0.86,0.90,0.18
123,Amber Sunset,Singer Songwriter,singer-songwriter,nostalgic,0.36,84,0.58,0.42,0.94
124,Zero Gravity,Space Bass,dubstep,intense,0.90,150,0.50,0.78,0.04
125,Paper Boats,Acoustic Dreams,indie folk,peaceful,0.30,78,0.66,0.40,0.96
126,Voltage,Circuit Board,electropop,energetic,0.86,130,0.82,0.88,0.08
127,Sahara Wind,World Percussion,world music,adventurous,0.65,105,0.72,0.68,0.60
128,Tokyo Drift,J-Pop Collective,k-pop,energetic,0.88,134,0.84,0.90,0.10
129,Bourbon Street,Jazz Cats,jazz,moody,0.42,94,0.48,0.52,0.86
130,Iron Curtain,Thrash Metal,metal,aggressive,0.94,168,0.28,0.70,0.04
131,Sunday Papers,Slow Stereo,lofi,relaxed,0.36,74,0.64,0.58,0.82
132,Outlaw Country,Nashville Rebels,country,adventurous,0.62,112,0.68,0.58,0.78
133,Crystal Cavern,Ambient Explorers,ambient,contemplative,0.24,56,0.60,0.26,0.92
134,Streetlight Serenade,Soul Collective,soul,romantic,0.46,96,0.76,0.66,0.70
135,Riot Act,Punk Force,punk,aggressive,0.90,162,0.44,0.74,0.08
136,Island Breeze,Reggae Masters,reggae,chill,0.58,98,0.80,0.72,0.50
137,First Light,Piano House,classical,inspirational,0.58,102,0.86,0.18,0.97
138,Neon Mirage,Vaporwave Collective,vaporwave,nostalgic,0.38,82,0.50,0.52,0.72
139,Backpack Rap,Boom Bap Crew,boom bap,focused,0.68,92,0.66,0.74,0.42
140,After Hours,Deep House,house,relaxed,0.62,122,0.70,0.78,0.18
141,Chrome Hearts,Synth Pop Wave,synthpop,romantic,0.72,114,0.76,0.80,0.16
142,Rustic Morning,Country Porch,country,peaceful,0.42,90,0.72,0.50,0.88
143,Undertow,Post Rock,progressive rock,introspective,0.60,118,0.52,0.48,0.45
144,Fever Dream,Psychedelic Haze,psychedelic rock,dreamy,0.68,122,0.58,0.60,0.40
145,Adrenaline Rush,EDM Nation,electronic,intense,0.94,145,0.72,0.90,0.04
146,Rainy Window,Paper Lanterns,lofi,melancholic,0.32,70,0.40,0.50,0.88
147,Soul Food,Gospel Soul,gospel,happy,0.72,112,0.86,0.70,0.62
148,Dark Corridor,Shadow Crypt,dark ambient,dark,0.28,52,0.22,0.20,0.90
149,Vinyl Crackle,Retro Soul,soul,nostalgic,0.50,100,0.68,0.64,0.74
150,Berlin Sunrise,Minimal Techno,techno,focused,0.78,126,0.58,0.76,0.06
151,Barefoot Dancing,Island Pop,pop,playful,0.80,122,0.86,0.88,0.22
152,Gravel Road,Americana Band,folk,contemplative,0.44,92,0.62,0.48,0.90
153,Phantom Limb,Post Punk,alternative rock,moody,0.74,120,0.42,0.64,0.30
154,Candlelit Dinner,Bossa Nova,bossa nova,romantic,0.34,86,0.78,0.54,0.92
155,Digital Monsoon,Drum and Bass,drum and bass,energetic,0.90,172,0.62,0.84,0.06
156,Morning Dew,Acoustic Sunrise,singer-songwriter,peaceful,0.30,80,0.72,0.38,0.96
157,Hood Classic,Street Beats,hip-hop,confident,0.78,115,0.70,0.82,0.12
158,Frozen Lake,Nordic Ambient,ambient,introspective,0.20,54,0.50,0.24,0.96
159,Party Monster,Club Kings,house,energetic,0.90,132,0.78,0.92,0.06
160,Dusty Vinyl,Blues Revival,blues,nostalgic,0.48,90,0.52,0.56,0.82
161,Rocket Fuel,Pop Energy,pop,energetic,0.88,134,0.82,0.86,0.10
162,Twilight Jazz,Midnight Quartet,jazz,introspective,0.36,86,0.46,0.48,0.88
163,Volcano,Heavy Metal Kings,metal,intense,0.96,172,0.34,0.72,0.04
164,Cotton Clouds,Dream Pop,indie pop,dreamy,0.56,104,0.74,0.68,0.48
165,Barricade,Punk Rebels,punk,motivated,0.88,156,0.52,0.76,0.08
166,Sunset Strip,Disco Revival,disco,happy,0.84,118,0.84,0.90,0.18
167,Monsoon Season,World Fusion,world music,moody,0.56,96,0.58,0.60,0.68
168,Ghost Train,Dark Wave,synthwave,dark,0.70,106,0.38,0.68,0.24
169,Cherry Blossom,J-Pop Stars,k-pop,happy,0.82,126,0.88,0.88,0.14
170,Crossroads,Delta Kings,blues,contemplative,0.46,92,0.50,0.54,0.84
171,Firefly,Acoustic Dreams,indie folk,dreamy,0.34,82,0.68,0.44,0.94
172,Bass Quake,Sub Zero,dubstep,aggressive,0.92,148,0.44,0.80,0.04
173,Honey Drip,R&B Smooth,r-b,romantic,0.54,98,0.78,0.74,0.52
174,Morning Commute,LoRoom,lofi,focused,0.42,82,0.58,0.62,0.76
175,Electric Sermon,Gospel Thunder,gospel,inspirational,0.74,116,0.84,0.68,0.58
176,Wanderlust,Indie Travelers,indie rock,adventurous,0.72,124,0.70,0.66,0.44
177,Cactus Flower,Desert Rock,alternative rock,adventurous,0.76,128,0.62,0.66,0.38
178,Silk Road,Tabla Beats,world music,relaxed,0.48,94,0.70,0.58,0.76
179,Thunder Dome,Hardcore DJ,techno,aggressive,0.92,142,0.38,0.84,0.04
180,Porcelain,Chamber Strings,classical,melancholic,0.38,72,0.48,0.14,0.98
181,Uptown Swagger,Funk Collective,funk,confident,0.80,112,0.82,0.88,0.22
182,Riverbank,Country Porch,country,relaxed,0.48,96,0.70,0.56,0.86
183,Deep Space Nine,Trance Master,electronic,dreamy,0.62,128,0.66,0.72,0.10
184,Penthouse View,R&B Kings,r-b,confident,0.66,104,0.74,0.76,0.38
185,Autumn Wind,Folk Artist,folk,melancholic,0.36,86,0.50,0.42,0.94
186,Concrete Playground,Boom Bap Crew,boom bap,playful,0.72,98,0.74,0.78,0.38
187,Burning Chrome,Cyberpunk Beats,synthwave,intense,0.82,132,0.52,0.76,0.10
188,Lemonade Stand,Beach Pop,pop,playful,0.76,120,0.86,0.84,0.20
189,Smoke Signal,Trap Collective,trap,moody,0.78,136,0.48,0.74,0.18
190,Monastery Bell,Meditation,ambient,peaceful,0.18,56,0.70,0.22,0.98
191,Sunflower,Indie Bloom,indie pop,inspirational,0.68,112,0.82,0.74,0.42
192,Electric Chapel,Electropop Wave,electropop,romantic,0.74,120,0.78,0.82,0.14
193,Nomad,Desert Blues,blues,adventurous,0.52,96,0.60,0.56,0.78
194,Last Train Home,Post Rock,progressive rock,melancholic,0.58,114,0.48,0.52,0.42
195,Block Party,Hip-Hop Collective,hip-hop,happy,0.80,118,0.78,0.84,0.12
196,Velvet Underground,Dark Jazz,jazz,dark,0.34,80,0.36,0.42,0.88
197,Sugar Rush,K-Pop Dreams,k-pop,happy,0.86,132,0.90,0.92,0.08
198,Pine Forest,Nature Sounds,downtempo,contemplative,0.28,68,0.60,0.38,0.90
199,Kickdrum,Jungle Masters,drum and bass,aggressive,0.92,178,0.52,0.82,0.04
200,Golden Gate,Indie Legends,indie rock,inspirational,0.70,118,0.78,0.68,0.40
201,Champagne Toast,Disco Kings,disco,happy,0.86,120,0.88,0.92,0.16
202,Thunderstorm,Grunge Kings,grunge,aggressive,0.86,138,0.38,0.68,0.22
203,Zen Garden,Digital Monk,downtempo,peaceful,0.24,64,0.68,0.36,0.92
204,Night Market,Asian Fusion,world music,playful,0.68,108,0.78,0.72,0.54
205,Pavement Cracks,Alt Rock Band,alternative rock,introspective,0.72,122,0.50,0.62,0.34
206,Satin Sheets,Soul Legends,soul,romantic,0.44,94,0.80,0.66,0.76
207,Pixel Rain,Cloud Collective,cloud rap,melancholic,0.48,88,0.44,0.62,0.72
208,Freight Train,Hard Rock Band,hard rock,energetic,0.88,146,0.58,0.74,0.10
209,Harbor Lights,Bossa Nova,bossa nova,contemplative,0.38,84,0.72,0.52,0.90
210,Overdrive,Synth Racer,electropop,intense,0.88,136,0.68,0.84,0.06
211,Porch Swing,Acoustic Artist,singer-songwriter,relaxed,0.34,78,0.70,0.44,0.96
212,Solar Flare,Trance Master,electronic,inspirational,0.78,134,0.76,0.80,0.08
213,Backroads,Nashville Sound,country,nostalgic,0.52,102,0.66,0.58,0.84
214,Fallen Leaves,Chamber Music,classical,melancholic,0.34,74,0.44,0.16,0.98
215,Club Oxygen,House Masters,house,happy,0.82,128,0.80,0.88,0.08
216,Satellite,Space Rock,psychedelic rock,adventurous,0.72,126,0.64,0.62,0.38
217,Cotton Candy,Pop Icons,pop,happy,0.78,118,0.90,0.84,0.18
218,Iron Horse,Death Metal Lords,death metal,aggressive,0.96,176,0.26,0.66,0.02
219,Warm Milk,Sleep Station,lofi,peaceful,0.26,66,0.62,0.46,0.88
220,Flamenco Moon,Latin Fusion,world music,romantic,0.58,102,0.76,0.68,0.72
221,Storm Chaser,Rock Legends,rock,adventurous,0.84,136,0.66,0.72,0.14
222,Quiet Storm,R&B Smooth,r-b,relaxed,0.48,96,0.74,0.68,0.58
223,Pulse Width,Minimal Techno,techno,focused,0.80,130,0.56,0.80,0.06
224,Wildflower,Indie Folk,indie folk,happy,0.46,90,0.78,0.52,0.92
225,Neon Alley,Trap Nation,trap,energetic,0.84,144,0.62,0.82,0.08
226,Cathedral,Orchestral,classical,inspirational,0.66,108,0.84,0.20,0.96
227,Bonfire,Rock Gods,rock,energetic,0.86,140,0.72,0.76,0.12
228,Misty Harbor,Jazz Standards,jazz,contemplative,0.38,88,0.58,0.48,0.90
229,Glitter Ball,Disco Revival,disco,energetic,0.88,122,0.82,0.90,0.14
230,Hollow Earth,Dark Synth,dark ambient,introspective,0.26,58,0.30,0.22,0.90
231,Samba de Janeiro,Latin Groove,reggaeton,happy,0.86,98,0.88,0.94,0.12
232,Frostbite,Metal Legends,metal,intense,0.94,164,0.32,0.70,0.06
233,Paper Airplane,Indie Bloom,indie pop,nostalgic,0.60,110,0.72,0.68,0.46
234,Basement Tapes,Boom Bap Crew,boom bap,introspective,0.62,90,0.58,0.68,0.48
235,Coral Reef,Chill Factor,downtempo,dreamy,0.32,72,0.66,0.44,0.82
236,Jukebox Hero,Funk Parade,funk,energetic,0.86,120,0.84,0.90,0.16
237,Peppermint,Synthpop Wave,synthpop,playful,0.74,116,0.82,0.80,0.18
238,Open Highway,Country Stars,country,adventurous,0.60,108,0.74,0.62,0.76
239,Requiem,Symphony,classical,dark,0.52,90,0.30,0.18,0.96
240,Bamboo Forest,Asian Ambient,ambient,focused,0.30,62,0.62,0.32,0.94
241,Late Night Ramen,LoRoom,lofi,chill,0.38,76,0.60,0.58,0.80
242,Victory Lap,Pop Energy,pop,inspirational,0.82,128,0.86,0.84,0.14
243,Shipwreck,Post Rock,progressive rock,contemplative,0.62,120,0.52,0.50,0.44
244,Havana Nights,Latin Jazz,bossa nova,playful,0.52,92,0.80,0.62,0.84
245,Prism,Electro Indie,electronic,focused,0.66,112,0.64,0.70,0.16
246,Graveyard Shift,Grunge Revival,grunge,dark,0.80,132,0.34,0.60,0.26
247,Soul Kitchen,Vintage Vibes,soul,happy,0.58,104,0.82,0.72,0.62
248,Ivory Tower,Piano House,classical,contemplative,0.40,76,0.72,0.16,0.98
249,Tidal Wave,Bass Monster,dubstep,energetic,0.90,152,0.58,0.82,0.04
250,Homecoming,Folk Wanderer,folk,nostalgic,0.42,88,0.64,0.46,0.92
